Name,descriptio,timestamp,icon,osm_id,osm_id_2,osm_way_id,name_1,type,aeroway,amenity,admin_leve,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags
Bear Tavern Elementary School,,,,,961743,,Hopewell Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
Bear Tavern Elementary School,,,,,170585,,Ewing Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"",""tiger:CLASSFP""=>""U1"",""tiger:CPI""=>""N"",""tiger:FUNCSTAT""=>""S"",""tiger"
Bear Tavern Elementary School,,,,,170951,,Pennington,boundary,,,8,,administrative,,,,,,,,,,,,borough,,,,"""border_type""=>""borough"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"",""tiger:CLASSFP""=>""C5"",""tiger:CPI""=>""N"",""ti"
Hopewell Elementary ,,,,,961744,,Princeton Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
Hopewell Elementary ,,,,,961743,,Hopewell Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
Hopewell Elementary ,,,,,170949,,Hopewell,boundary,,,8,,administrative,,,,,,,,,,,,borough,,,,"""border_type""=>""borough"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"",""tiger:CLASSFP""=>""C5"",""tiger:CPI""=>""N"",""ti"
Stony Brook Elementary,,,,,961740,,Lawrence Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
Stony Brook Elementary,,,,,961743,,Hopewell Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
Stony Brook Elementary,,,,,170585,,Ewing Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"",""tiger:CLASSFP""=>""U1"",""tiger:CPI""=>""N"",""tiger:FUNCSTAT""=>""S"",""tiger"
Toll Gate Elementary ,,,,,961740,,Lawrence Township,boundary,,,8,,administrative,,,,,,,,,,,,township,,,,"""border_type""=>""township"",""is_in""=>""USA, New Jersey"",""is_in:country""=>""USA"",""is_in:country_code""=>""US"",""is_in:county""=>""Mercer, NJ"",""is_in:iso_3166_2""=>""US:NJ"",""is_in:state""=>""New Jersey"",""is_in:state_code""=>""NJ"""
